,Technical Support,Customer Service,Billing and Payments,Product Support,IT Support,Returns and Exchanges,Sales and Pre-Sales,Human Resources,Service Outages and Maintenance,General Inquiry
Technical Support,1223,0,0,0,0,0,0,0,0,0
Customer Service,641,0,0,0,0,0,0,0,0,0
Billing and Payments,435,0,0,0,0,0,0,0,0,0
Product Support,796,0,0,0,0,0,0,0,0,0
IT Support,500,0,0,0,0,0,0,0,0,0
Returns and Exchanges,210,0,0,0,0,0,0,0,0,0
Sales and Pre-Sales,126,0,0,0,0,0,0,0,0,0
Human Resources,83,0,0,0,0,0,0,0,0,0
Service Outages and Maintenance,166,0,0,0,0,0,0,0,0,0
General Inquiry,60,0,0,0,0,0,0,0,0,0
